                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97894,                0.92207,                 0.8172,                0.89491,                0.64389,                0.73524,                0.48754,                0.84686,                0.63123,                0.80343,             0.00041394,             0.00041394,             0.00041394
                      2,                 1.0673,                 0.6289,                0.82194,                0.78622,                0.62643,                0.68242,                0.45685,                0.90294,                0.59069,                0.81351,             0.00082239,             0.00082239,             0.00082239
                      3,                 1.0296,                0.72428,                0.81856,                0.84377,                0.59399,                0.68748,                0.47496,                0.87833,                0.63113,                0.80788,              0.0012226,              0.0012226,              0.0012226
                      4,                 1.0768,                0.67203,                0.82101,                0.72206,                0.67304,                0.71986,                0.48565,                0.92241,                0.57216,                0.80526,              0.0012129,              0.0012129,              0.0012129
                      5,                  1.023,                 0.5838,                0.81571,                0.84867,                 0.6759,                0.75682,                0.52496,                0.82581,                0.48459,                0.80572,              0.0012129,              0.0012129,              0.0012129
                      6,                0.95313,                0.51602,                0.80863,                0.90288,                0.67085,                0.76703,                0.51486,                0.89822,                0.52444,                  0.809,              0.0012005,              0.0012005,              0.0012005
                      7,                0.95908,                0.56964,                0.81265,                0.90222,                0.70756,                0.77213,                 0.5347,                0.79706,                0.46118,                0.80335,              0.0011881,              0.0011881,              0.0011881
                      8,                0.95412,                0.53725,                0.81007,                0.77144,                0.67868,                0.74701,                0.51444,                0.84034,                0.47818,                0.80311,              0.0011757,              0.0011757,              0.0011757
                      9,                0.93264,                0.50145,                0.80626,                0.93624,                0.69911,                0.78341,                0.54654,                0.79258,                0.45437,                 0.7989,              0.0011634,              0.0011634,              0.0011634
                     10,                0.91378,                0.47549,                0.80387,                0.83565,                0.79191,                0.80984,                0.54649,                0.83626,                0.45504,                 0.8063,               0.001151,               0.001151,               0.001151
                     11,                 1.0068,                0.51142,                0.80821,                0.79964,                0.75349,                0.79942,                0.54435,                0.82206,                0.44848,                0.80182,              0.0011386,              0.0011386,              0.0011386
                     12,                0.91273,                0.47791,                0.80658,                0.88773,                0.68963,                0.78975,                0.53618,                0.86761,                0.47018,                0.81135,              0.0011263,              0.0011263,              0.0011263
                     13,                0.86759,                 0.4482,                0.80047,                 0.8946,                0.72625,                0.80393,                0.55957,                 0.8059,                0.42837,                 0.7985,              0.0011139,              0.0011139,              0.0011139
                     14,                0.86455,                 0.4483,                0.80028,                0.82644,                0.73316,                0.77788,                 0.5245,                 0.7946,                0.44366,                0.79953,              0.0011015,              0.0011015,              0.0011015
                     15,                0.85389,                0.45363,                0.79747,                0.86506,                0.73513,                0.78835,                0.52265,                0.84759,                0.45576,                0.80521,              0.0010891,              0.0010891,              0.0010891
                     16,                0.85803,                0.44801,                0.79933,                0.86426,                0.77448,                0.81083,                  0.578,                0.72701,                0.40891,                 0.7949,              0.0010768,              0.0010768,              0.0010768
                     17,                0.84956,                0.44298,                0.79895,                0.85005,                0.71678,                0.79322,                 0.5529,                0.74145,                0.44113,                0.79551,              0.0010644,              0.0010644,              0.0010644
                     18,                0.81593,                0.43916,                0.79583,                0.85993,                0.74182,                0.78629,                0.55301,                0.79449,                0.44206,                0.79437,               0.001052,               0.001052,               0.001052
                     19,                0.82948,                 0.4332,                0.79779,                 0.7774,                0.77157,                0.78085,                0.54978,                0.75321,                0.41973,                0.79637,              0.0010396,              0.0010396,              0.0010396
                     20,                0.82027,                0.41742,                0.79559,                0.82212,                0.77397,                0.80742,                0.57991,                 0.7451,                0.39576,                0.79385,              0.0010273,              0.0010273,              0.0010273
                     21,                0.80589,                0.41448,                0.79606,                 0.8598,                0.77834,                0.80433,                0.56139,                0.73482,                0.39519,                 0.7924,              0.0010149,              0.0010149,              0.0010149
