                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5857,                 2.9766,                0.90576,                0.03094,                0.21616,                0.17914,                 0.0872,                 1.3553,                   3.05,                0.84514,              0.0003125,              0.0003125,              0.0003125
                      2,                  1.414,                 1.2309,                0.85974,                0.03725,                0.39888,                0.21947,                0.11983,                 1.3138,                 2.4525,                0.84158,             0.00063119,             0.00063119,             0.00063119
                      3,                 1.2872,                 1.0821,                  0.847,                0.84381,                0.11848,                 0.2282,                0.13848,                 1.2333,                 1.9744,                0.84626,             0.00094344,             0.00094344,             0.00094344
                      4,                 1.2277,                 1.0057,                0.83821,                0.95371,                 0.2327,                 0.3031,                0.19082,                 1.1344,                 1.4698,                0.83954,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.2408,                 0.9423,                0.83965,                0.83244,                0.27004,                 0.3753,                0.22535,                 1.1748,                 1.1242,                0.83106,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.2131,                0.89879,                0.83794,                0.84597,                 0.3551,                0.46663,                0.29408,                 1.0939,                0.92667,                0.82703,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.1473,                0.82852,                 0.8288,                0.81864,                0.38827,                0.48184,                0.29866,                 1.0559,                0.77122,                0.82373,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.0978,                0.76198,                0.82825,                0.90451,                0.48768,                0.58458,                0.38039,                  1.021,                 0.7168,                0.82604,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.1089,                 0.7351,                0.82384,                0.83866,                0.53948,                0.62416,                0.39455,                   1.04,                0.64718,                0.82062,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.1247,                0.71826,                0.82432,                 0.8341,                0.51443,                0.61994,                0.37204,                   1.04,                0.67104,                0.82314,               0.001151,               0.001151,               0.001151
                     11,                 1.1091,                0.69572,                0.82082,                0.85977,                0.52815,                0.62307,                0.38394,                 1.0173,                0.64896,                0.82066,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.0787,                0.66406,                 0.8186,                0.87255,                0.54416,                0.65603,                0.41976,                0.99883,                0.59962,                0.82135,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.0559,                0.64178,                 0.8205,                0.73917,                0.57747,                0.65431,                0.40416,                 1.0182,                0.58719,                0.82013,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.0502,                0.62195,                0.81814,                0.77642,                0.59656,                0.69076,                 0.4365,                0.93421,                0.54791,                 0.8152,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.0546,                0.62014,                0.81729,                0.78924,                0.66526,                0.68735,                0.42706,                0.98054,                 0.5751,                0.82102,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.0185,                0.60059,                0.81348,                0.85202,                0.63144,                0.70159,                0.44228,                 0.9639,                0.55439,                0.81586,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.0083,                0.58128,                 0.8142,                0.82627,                0.66084,                0.70761,                0.45911,                0.95324,                0.54674,                 0.8137,              0.0010644,              0.0010644,              0.0010644
                     18,                0.98623,                0.56542,                0.81131,                0.82745,                0.65154,                0.71017,                0.46397,                0.91491,                0.51904,                0.81246,               0.001052,               0.001052,               0.001052
                     19,                0.95581,                0.55552,                0.80843,                0.82281,                0.59742,                0.66748,                0.41672,                 1.0288,                0.58804,                0.82466,              0.0010396,              0.0010396,              0.0010396
                     20,                  1.031,                0.58461,                0.81241,                0.85986,                0.60481,                0.67848,                0.42972,                  1.026,                0.58434,                0.82386,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.0153,                 0.5735,                0.81202,                0.81255,                0.62534,                 0.6818,                0.45294,                0.95641,                0.55162,                0.81409,              0.0010149,              0.0010149,              0.0010149
                     22,                0.99354,                0.55195,                0.80899,                 0.8408,                0.69482,                0.72945,                0.48793,                0.95169,                0.51031,                0.81321,              0.0010025,              0.0010025,              0.0010025
                     23,                0.97897,                0.53722,                0.80793,                0.86594,                0.68281,                0.72779,                0.48463,                0.91343,                0.50517,                0.81323,             0.00099013,             0.00099013,             0.00099013
                     24,                0.94444,                0.53075,                0.80549,                0.83491,                0.67478,                0.72949,                0.48042,                0.92532,                0.49769,                0.81105,             0.00097775,             0.00097775,             0.00097775
                     25,                0.96034,                0.52983,                0.80652,                0.86876,                0.62728,                 0.7125,                0.46333,                0.94613,                0.50472,                 0.8126,             0.00096537,             0.00096537,             0.00096537
                     26,                0.97007,                0.53114,                 0.8081,                 0.8717,                0.57473,                0.66591,                0.43304,                0.92044,                0.52724,                0.81023,               0.000953,               0.000953,               0.000953
                     27,                 0.9631,                 0.5221,                0.80872,                0.82439,                0.67882,                0.72876,                 0.4777,                0.90892,                0.49384,                0.80839,             0.00094062,             0.00094062,             0.00094062
                     28,                0.94979,                 0.5103,                0.80914,                0.84266,                0.66087,                0.72151,                  0.473,                  0.923,                0.50093,                0.81055,             0.00092825,             0.00092825,             0.00092825
                     29,                0.93873,                0.50758,                0.80604,                0.84903,                0.66436,                0.71168,                0.48044,                0.90054,                0.48558,                0.80995,             0.00091588,             0.00091588,             0.00091588
                     30,                0.95041,                0.50742,                0.80409,                 0.8576,                0.64984,                0.68894,                0.45848,                 0.9039,                 0.5005,                0.80928,              0.0009035,              0.0009035,              0.0009035
