                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81822,                0.88646,                0.83946,                0.77549,                0.73678,                0.78223,                 0.5733,                0.69157,                0.61296,                0.82887,             0.00041394,             0.00041394,             0.00041394
                      2,                0.79999,                0.54946,                0.82948,                 0.8518,                0.80253,                0.84019,                0.59747,                0.70791,                0.50945,                0.82552,             0.00082787,             0.00082787,             0.00082787
                      3,                0.84189,                0.59808,                0.83884,                0.80739,                0.78988,                0.84591,                0.55987,                0.87899,                0.53703,                 0.8431,               0.001239,               0.001239,               0.001239
                      4,                0.86041,                0.53404,                0.83774,                0.89343,                0.69975,                0.79213,                0.55104,                0.81634,                 0.5302,                0.83965,              0.0012376,              0.0012376,              0.0012376
                      5,                0.86964,                0.51267,                0.84365,                0.87654,                0.81097,                0.86071,                0.60313,                0.84388,                0.49632,                0.84065,              0.0012376,              0.0012376,              0.0012376
                      6,                0.82352,                0.47939,                 0.8336,                0.86827,                 0.7816,                0.85168,                0.61325,                0.69389,                0.44656,                0.82889,              0.0012335,              0.0012335,              0.0012335
                      7,                0.79077,                0.46258,                0.83008,                 0.8498,                0.82051,                0.83956,                0.57419,                 0.7871,                0.45773,                0.83319,              0.0012294,              0.0012294,              0.0012294
                      8,                0.80647,                0.44362,                0.82959,                 0.8934,                0.83415,                0.87156,                0.63314,                0.70768,                0.41543,                0.82795,              0.0012252,              0.0012252,              0.0012252
                      9,                0.79657,                0.42483,                0.82631,                0.89375,                0.81249,                0.86837,                 0.6141,                0.77202,                0.43702,                0.83254,              0.0012211,              0.0012211,              0.0012211
                     10,                0.77914,                0.42701,                0.82486,                0.89668,                0.81554,                0.86397,                0.61489,                0.73797,                0.42349,                0.83275,               0.001217,               0.001217,               0.001217
