                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.8134,                0.38745,                0.78318,                0.86974,                0.72204,                0.78688,                0.54781,                0.83615,                0.40838,                0.79916,             0.00096125,             0.00096125,             0.00096125
                     37,                0.83098,                0.40558,                0.78755,                0.85111,                0.74683,                0.79772,                0.53361,                0.88049,                0.44364,                0.79895,               0.000953,               0.000953,               0.000953
                     38,                0.82617,                 0.3985,                 0.7864,                0.91658,                 0.7391,                 0.8099,                0.52827,                0.83815,                0.40559,                0.79971,             0.00094475,             0.00094475,             0.00094475
                     39,                0.84575,                0.40249,                0.78777,                0.92366,                0.73126,                0.80635,                0.54328,                0.85254,                0.41358,                 0.8003,              0.0009365,              0.0009365,              0.0009365
                     40,                0.82042,                0.38605,                0.78657,                0.88571,                0.75265,                0.80492,                0.55712,                 0.8097,                0.38248,                0.79763,             0.00092825,             0.00092825,             0.00092825
                     41,                0.81862,                0.38087,                0.78548,                0.90149,                0.76375,                0.80728,                0.54852,                0.84486,                0.39319,                0.79997,                0.00092,                0.00092,                0.00092
                     42,                0.78823,                0.37245,                0.78176,                0.91853,                0.71827,                0.79174,                0.54495,                0.82552,                 0.3997,                  0.797,             0.00091175,             0.00091175,             0.00091175
                     43,                0.79452,                0.37767,                  0.783,                0.85368,                0.72406,                 0.7712,                0.53804,                  0.808,                0.38983,                0.79835,              0.0009035,              0.0009035,              0.0009035
                     44,                0.79741,                0.38404,                0.78402,                 0.8923,                0.74329,                0.81471,                 0.5488,                0.86145,                0.40766,                0.79791,             0.00089525,             0.00089525,             0.00089525
                     45,                0.82951,                 0.3934,                0.78651,                0.83851,                0.72191,                0.80076,                0.55143,                0.81434,                0.39767,                0.79682,               0.000887,               0.000887,               0.000887
                     46,                0.81558,                 0.3891,                0.78363,                0.84452,                0.75411,                0.77884,                0.54324,                0.80646,                0.39549,                0.79668,             0.00087875,             0.00087875,             0.00087875
                     47,                0.79884,                0.37837,                0.78114,                0.88683,                0.76723,                0.81787,                0.56302,                0.81475,                0.39588,                0.79696,              0.0008705,              0.0008705,              0.0008705
                     48,                0.78739,                0.37198,                0.78239,                0.92488,                0.76237,                0.82096,                0.57318,                0.79243,                0.38382,                0.79386,             0.00086225,             0.00086225,             0.00086225
                     49,                0.78695,                0.37065,                0.78203,                0.89483,                0.74425,                0.81676,                0.57178,                0.80529,                0.38403,                 0.7962,               0.000854,               0.000854,               0.000854
                     50,                0.77835,                0.36686,                0.78037,                0.91914,                0.75646,                0.82536,                0.57932,                0.77574,                0.36601,                0.79681,             0.00084575,             0.00084575,             0.00084575
                     51,                0.79836,                 0.3734,                0.78286,                 0.8835,                0.76554,                0.83565,                0.57062,                0.87293,                0.40055,                0.80394,              0.0008375,              0.0008375,              0.0008375
                     52,                0.78504,                 0.3694,                0.78275,                 0.8988,                0.75864,                0.81148,                0.55996,                0.80415,                0.38664,                0.79746,             0.00082925,             0.00082925,             0.00082925
                     53,                0.76833,                0.36484,                0.78043,                0.87512,                0.73925,                0.78134,                0.55273,                 0.8143,                0.39262,                0.79631,               0.000821,               0.000821,               0.000821
