                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.81529,                0.38424,                0.78143,                0.94331,                0.76813,                0.82667,                0.56502,                0.78653,                0.39152,                0.78548,             0.00082925,             0.00082925,             0.00082925
                     37,                0.80068,                0.38191,                0.78253,                0.86147,                0.74494,                0.79199,                0.54852,                0.80547,                0.41223,                0.78553,             0.00081688,             0.00081688,             0.00081688
                     38,                0.81845,                0.38879,                0.78294,                0.88786,                0.74743,                0.78617,                0.54015,                0.80255,                0.40783,                0.78643,              0.0008045,              0.0008045,              0.0008045
                     39,                0.87475,                0.40958,                0.78338,                0.94016,                0.72787,                0.79132,                0.55775,                0.80972,                0.41714,                0.78461,             0.00079213,             0.00079213,             0.00079213
                     40,                0.83397,                0.39141,                0.78352,                0.93992,                0.73118,                0.80359,                0.55757,                0.83022,                0.42429,                 0.7871,             0.00077975,             0.00077975,             0.00077975
                     41,                0.84656,                0.39924,                0.78354,                0.85956,                0.72409,                0.77731,                0.52541,                 0.8292,                0.42388,                 0.7876,             0.00076738,             0.00076738,             0.00076738
                     42,                0.80771,                0.38728,                0.78147,                0.85583,                0.72366,                0.78891,                 0.5462,                 0.7903,                 0.4111,                0.78369,               0.000755,               0.000755,               0.000755
                     43,                0.80524,                0.37943,                0.78117,                0.82534,                0.72774,                0.77985,                0.52445,                0.84787,                0.40161,                0.78903,             0.00074263,             0.00074263,             0.00074263
                     44,                0.82682,                 0.3875,                0.78421,                 0.9341,                0.70441,                0.80147,                0.53333,                  0.842,                0.41593,                0.78955,             0.00073025,             0.00073025,             0.00073025
                     45,                0.77874,                0.37009,                0.78043,                0.90153,                0.73611,                0.79493,                0.55757,                0.80634,                0.40324,                0.78852,             0.00071788,             0.00071788,             0.00071788
                     46,                0.80474,                0.38439,                0.78253,                0.80759,                0.72459,                0.78128,                0.54353,                0.80297,                0.40173,                0.78752,              0.0007055,              0.0007055,              0.0007055
                     47,                 0.7917,                0.37309,                0.78178,                 0.9416,                0.73751,                0.80724,                0.56705,                0.79282,                0.39455,                0.78622,             0.00069313,             0.00069313,             0.00069313
                     48,                0.78234,                0.36782,                0.78069,                0.94419,                0.72313,                  0.807,                 0.5453,                0.78923,                0.39803,                0.78499,             0.00068075,             0.00068075,             0.00068075
                     49,                0.78549,                0.37304,                0.77981,                0.94482,                0.75447,                0.82676,                 0.5625,                0.79438,                 0.4022,                0.78535,             0.00066838,             0.00066838,             0.00066838
                     50,                0.78373,                0.37172,                0.78098,                0.88503,                0.75774,                0.80593,                0.55599,                0.80636,                 0.4109,                0.78418,               0.000656,               0.000656,               0.000656
                     51,                0.80096,                0.37976,                0.77982,                0.89752,                0.75798,                0.80507,                0.55122,                0.80263,                0.39827,                0.78405,             0.00064362,             0.00064362,             0.00064362
                     52,                0.79868,                0.37842,                0.78102,                 0.9261,                0.74566,                 0.8153,                   0.55,                 0.7922,                 0.3923,                0.78421,             0.00063125,             0.00063125,             0.00063125
                     53,                 0.7992,                0.37831,                0.78037,                0.92391,                0.71578,                0.80559,                0.55272,                0.81815,                0.41325,                0.78504,             0.00061887,             0.00061887,             0.00061887
                     54,                 0.7764,                0.36476,                0.78058,                0.90877,                0.72667,                0.81602,                0.57597,                0.78661,                 0.3972,                0.78525,              0.0006065,              0.0006065,              0.0006065
                     55,                0.84023,                0.39373,                0.78065,                0.90764,                0.75534,                0.80791,                0.56893,                0.80457,                0.39677,                0.78452,             0.00059413,             0.00059413,             0.00059413
                     56,                0.77058,                0.36555,                0.77885,                0.82196,                0.73918,                0.79076,                0.56143,                0.76899,                0.38592,                0.78278,             0.00058175,             0.00058175,             0.00058175
                     57,                0.75914,                0.35895,                0.77972,                0.90257,                0.71949,                0.81622,                0.55033,                0.79811,                0.39471,                0.78622,             0.00056938,             0.00056938,             0.00056938
                     58,                0.75724,                0.35514,                0.78053,                0.89577,                0.74204,                 0.8211,                0.56831,                0.77907,                0.38359,                0.78483,               0.000557,               0.000557,               0.000557
                     59,                0.76622,                0.35551,                0.77737,                0.84707,                0.72051,                0.81306,                0.56403,                0.78652,                0.40005,                 0.7843,             0.00054463,             0.00054463,             0.00054463
                     60,                0.73773,                0.34512,                0.77909,                0.88602,                0.74551,                0.81038,                0.56629,                0.79294,                0.39078,                  0.786,             0.00053225,             0.00053225,             0.00053225
                     61,                0.74001,                0.34701,                 0.7765,                0.90415,                0.73419,                0.78858,                 0.5615,                0.79286,                0.38582,                0.78568,             0.00051988,             0.00051988,             0.00051988
                     62,                0.73649,                0.34905,                0.77754,                0.92873,                0.71687,                0.79711,                0.55733,                0.77877,                0.39459,                0.78388,              0.0005075,              0.0005075,              0.0005075
                     63,                0.72034,                0.34271,                0.77822,                0.91518,                0.70513,                0.82007,                0.57742,                0.78274,                0.38965,                0.78394,             0.00049513,             0.00049513,             0.00049513
                     64,                0.72776,                0.34536,                0.77669,                0.92285,                0.73747,                0.80477,                0.57397,                0.76733,                0.38429,                0.78221,             0.00048275,             0.00048275,             0.00048275
                     65,                0.71533,                0.33552,                0.77754,                0.86905,                0.75122,                0.80214,                0.55983,                0.76191,                0.37403,                0.78274,             0.00047038,             0.00047038,             0.00047038
                     66,                0.72288,                0.33925,                0.77615,                0.91367,                0.71832,                0.79995,                 0.5591,                0.77619,                0.37912,                  0.786,               0.000458,               0.000458,               0.000458
                     67,                0.72002,                0.33516,                0.77489,                 0.9187,                0.71279,                 0.7927,                0.56346,                0.76323,                0.37877,                0.78335,             0.00044563,             0.00044563,             0.00044563
                     68,                0.72301,                0.33988,                0.77607,                0.86932,                0.71487,                0.79915,                0.55757,                0.79495,                0.39514,                0.78533,             0.00043325,             0.00043325,             0.00043325
                     69,                0.72387,                0.33621,                0.77653,                  0.814,                0.73699,                0.80284,                0.55688,                0.78852,                0.39098,                0.78442,             0.00042087,             0.00042087,             0.00042087
                     70,                0.71221,                0.33447,                0.77707,                0.93721,                0.73074,                 0.8104,                0.56529,                0.77647,                0.37951,                0.78371,              0.0004085,              0.0004085,              0.0004085
                     71,                0.70713,                0.33059,                0.77528,                0.90499,                0.71811,                0.80329,                0.56776,                0.77161,                0.37726,                0.78313,             0.00039613,             0.00039613,             0.00039613
                     72,                0.70424,                0.33108,                0.77288,                0.92501,                0.75684,                0.81897,                0.58207,                0.75769,                0.36865,                0.78231,             0.00038375,             0.00038375,             0.00038375
                     73,                0.68861,                0.32283,                0.77333,                0.92473,                0.74624,                0.79996,                0.58923,                0.75756,                0.36257,                0.78274,             0.00037138,             0.00037138,             0.00037138
                     74,                0.68496,                0.32341,                 0.7744,                0.86964,                0.73917,                0.81291,                0.56943,                0.78695,                0.38737,                0.78501,               0.000359,               0.000359,               0.000359
                     75,                0.68087,                0.32066,                 0.7754,                0.91315,                0.73928,                 0.8284,                 0.5869,                0.75817,                0.36469,                0.78166,             0.00034663,             0.00034663,             0.00034663
                     76,                0.68858,                0.32311,                0.77426,                0.91752,                0.69527,                0.79482,                0.57046,                0.77919,                 0.3834,                0.78372,             0.00033425,             0.00033425,             0.00033425
                     77,                0.68004,                0.31869,                0.77406,                0.90394,                0.76256,                0.82011,                0.58424,                0.76629,                0.35749,                0.78202,             0.00032188,             0.00032188,             0.00032188
                     78,                0.67022,                0.31523,                0.77322,                0.91295,                0.75367,                0.81145,                 0.5838,                0.76157,                0.37805,                  0.782,              0.0003095,              0.0003095,              0.0003095
                     79,                0.65998,                 0.3119,                0.77327,                0.92258,                0.75149,                0.81252,                0.56926,                0.77169,                0.36688,                0.78251,             0.00029713,             0.00029713,             0.00029713
                     80,                0.66142,                0.30883,                0.77436,                0.95629,                0.74795,                0.81784,                0.57539,                0.77254,                0.36054,                0.78217,             0.00028475,             0.00028475,             0.00028475
                     81,                0.66882,                0.31337,                 0.7706,                0.95374,                0.74378,                0.81516,                0.57786,                0.76416,                0.36289,                0.78229,             0.00027237,             0.00027237,             0.00027237
                     82,                0.64872,                 0.3042,                0.77306,                0.93741,                0.75587,                0.81905,                0.57269,                 0.7785,                0.37334,                 0.7824,                0.00026,                0.00026,                0.00026
                     83,                0.65357,                0.30317,                0.77558,                0.85945,                0.75323,                 0.8112,                0.57237,                 0.7604,                0.36463,                0.78089,             0.00024762,             0.00024762,             0.00024762
                     84,                0.62404,                0.29534,                0.77274,                0.87671,                0.75081,                0.80572,                0.57505,                0.76064,                0.34829,                0.78134,             0.00023525,             0.00023525,             0.00023525
                     85,                0.66073,                   0.31,                0.77438,                0.92997,                0.75535,                0.82476,                0.57367,                0.78979,                0.37214,                0.78332,             0.00022288,             0.00022288,             0.00022288
                     86,                0.65851,                0.30795,                 0.7726,                0.91184,                0.74864,                0.81811,                0.58831,                0.77186,                0.36793,                0.78133,              0.0002105,              0.0002105,              0.0002105
                     87,                 0.6371,                0.30187,                 0.7731,                0.93707,                0.74311,                0.82583,                0.58582,                0.77219,                0.36353,                0.78223,             0.00019813,             0.00019813,             0.00019813
                     88,                0.63004,                0.29813,                0.77202,                0.91142,                0.76417,                0.82334,                0.58437,                0.76557,                0.35409,                0.78218,             0.00018575,             0.00018575,             0.00018575
                     89,                0.62934,                0.29763,                0.77168,                0.94855,                0.74807,                0.82688,                0.58515,                0.78638,                0.36258,                0.78394,             0.00017338,             0.00017338,             0.00017338
                     90,                0.63685,                 0.3008,                0.77188,                0.94188,                0.74262,                0.81957,                 0.5879,                0.77675,                0.36035,                0.78166,               0.000161,               0.000161,               0.000161
                     91,                0.59611,                0.29051,                0.77074,                0.89817,                 0.7441,                 0.8126,                0.57406,                0.76916,                0.36046,                0.78143,             0.00014862,             0.00014862,             0.00014862
                     92,                 0.5823,                0.28448,                0.77165,                0.90896,                0.74794,                0.82056,                0.59054,                0.75707,                 0.3616,                0.78052,             0.00013625,             0.00013625,             0.00013625
                     93,                0.56997,                0.27715,                0.77121,                0.97898,                 0.7391,                0.83005,                 0.5857,                0.75332,                0.35828,                0.78081,             0.00012387,             0.00012387,             0.00012387
                     94,                  0.584,                0.28398,                0.76884,                0.93125,                0.73438,                0.82574,                0.58455,                0.76827,                0.36548,                0.78048,              0.0001115,              0.0001115,              0.0001115
                     95,                0.54685,                0.27226,                0.76892,                0.98277,                0.73171,                0.82269,                0.58994,                0.75557,                0.36467,                0.78029,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.54891,                0.27241,                0.76753,                0.97585,                0.73869,                0.81403,                   0.58,                 0.7566,                0.36087,                0.78112,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.56122,                0.27762,                0.76841,                0.97452,                0.73054,                0.81588,                0.58518,                0.75262,                0.35818,                0.78059,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                  0.542,                0.26711,                0.76661,                0.96451,                0.71854,                0.81575,                0.58781,                0.74852,                0.36035,                0.78092,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.52817,                0.26186,                0.76917,                0.94249,                0.74167,                0.81915,                0.58903,                0.75273,                0.35902,                0.78107,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.54216,                0.26422,                0.76671,                0.95456,                0.74628,                 0.8208,                0.58939,                0.75876,                0.35849,                0.78055,              3.725e-05,              3.725e-05,              3.725e-05
