                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0717,                 1.3864,                0.83914,                 0.1997,                0.42696,                0.26296,                0.18365,                0.94353,                 1.3486,                0.81614,             0.00041005,             0.00041005,             0.00041005
                      2,                 1.1827,                0.93249,                 0.8432,                0.62957,                0.47015,                0.45756,                0.25961,                 1.1328,                 1.8328,                0.84428,             0.00081854,             0.00081854,             0.00081854
                      3,                 1.2503,                0.87414,                0.84775,                0.61646,                0.42275,                0.43348,                0.18365,                 1.5249,                0.99293,                0.86442,              0.0012188,              0.0012188,              0.0012188
                      4,                 1.3463,                0.80219,                0.85506,                0.81908,                0.49082,                 0.6007,                0.34568,                 1.2138,                0.77954,                 0.8364,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1837,                0.89855,                0.83919,                0.59886,                0.42325,                0.37575,                0.23692,                 1.1077,                 2.3538,                0.84696,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.1419,                0.77153,                0.83511,                0.74814,                0.49461,                0.51217,                0.30891,                 1.0174,                0.84533,                0.81946,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.1148,                0.71521,                0.83556,                0.60693,                0.63307,                0.61637,                 0.3953,                0.97736,                0.76338,                0.81809,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.1948,                0.69623,                0.84243,                0.74423,                 0.5791,                0.63913,                 0.3957,                 1.0302,                0.71968,                 0.8255,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.0736,                 0.6627,                0.82941,                0.82888,                0.58964,                  0.697,                0.45414,                0.91334,                0.58962,                0.81474,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.0069,                0.63588,                0.82419,                  0.837,                0.68021,                0.76283,                0.49959,                0.86897,                0.57375,                0.80592,               0.001151,               0.001151,               0.001151
                     11,                 1.0238,                0.62655,                0.81661,                0.74991,                0.67523,                0.73004,                0.47604,                0.90471,                0.55509,                0.80856,              0.0011386,              0.0011386,              0.0011386
