                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39128,                0.20953,                0.77265,                0.91492,                0.81563,                0.84645,                  0.635,                0.65079,                0.34097,                 0.8255,             0.00041394,             0.00041394,             0.00041394
                      2,                0.40155,                0.22288,                0.77198,                0.95979,                0.80901,                0.87422,                0.64669,                0.65956,                0.34705,                0.82513,             0.00082787,             0.00082787,             0.00082787
                      3,                0.40886,                0.23506,                0.77656,                0.89919,                0.80846,                 0.8609,                0.65542,                 0.6748,                0.37772,                0.82939,               0.001239,               0.001239,               0.001239
                      4,                0.42573,                0.25064,                 0.7749,                0.89782,                 0.8043,                0.85514,                0.63193,                0.66388,                0.34544,                0.82515,              0.0012376,              0.0012376,              0.0012376
                      5,                0.42541,                0.25241,                0.77696,                0.96515,                0.77641,                0.86586,                0.64031,                0.67246,                0.35302,                 0.8291,              0.0012376,              0.0012376,              0.0012376
                      6,                0.42393,                0.23674,                  0.776,                0.92353,                0.83723,                0.86711,                0.65234,                0.66416,                0.35474,                0.82846,              0.0012335,              0.0012335,              0.0012335
                      7,                0.42734,                 0.2419,                0.77681,                  0.898,                0.85386,                0.87946,                0.64974,                0.67191,                0.34967,                0.82904,              0.0012294,              0.0012294,              0.0012294
                      8,                0.43481,                0.24298,                0.77722,                0.94381,                0.80196,                0.86693,                0.65912,                0.67467,                0.34695,                 0.8296,              0.0012252,              0.0012252,              0.0012252
                      9,                0.43557,                0.23684,                 0.7774,                0.94156,                0.82405,                0.87407,                0.65876,                0.68741,                0.35296,                0.83066,              0.0012211,              0.0012211,              0.0012211
                     10,                0.42054,                0.22714,                0.77504,                0.92107,                0.84333,                0.87927,                0.65358,                0.67703,                0.33894,                0.82825,               0.001217,               0.001217,               0.001217
                     11,                0.43421,                0.23414,                0.77653,                0.90211,                0.85078,                0.87629,                0.65995,                0.65564,                0.33305,                0.82489,              0.0012129,              0.0012129,              0.0012129
                     12,                0.42545,                0.23644,                0.77539,                0.93814,                0.80767,                0.86491,                0.64988,                0.68276,                0.34794,                0.82938,              0.0012087,              0.0012087,              0.0012087
                     13,                0.45669,                0.24537,                0.77919,                0.91493,                0.82201,                0.85935,                0.65764,                 0.6658,                0.34006,                0.82591,              0.0012046,              0.0012046,              0.0012046
                     14,                0.45023,                0.24234,                 0.7802,                0.94047,                0.79072,                0.86686,                0.65809,                0.67059,                0.35467,                0.82607,              0.0012005,              0.0012005,              0.0012005
                     15,                0.42894,                0.23837,                0.77714,                0.87805,                0.83813,                0.86993,                0.65059,                0.67117,                0.35367,                0.82986,              0.0011964,              0.0011964,              0.0011964
                     16,                 0.4489,                0.24677,                0.77509,                 0.9496,                0.81458,                0.86733,                0.65727,                0.65402,                0.33673,                0.82516,              0.0011922,              0.0011922,              0.0011922
                     17,                0.42162,                0.23247,                 0.7791,                0.94174,                0.81349,                0.85126,                0.64954,                0.66963,                0.35659,                0.82575,              0.0011881,              0.0011881,              0.0011881
                     18,                0.44365,                0.24381,                0.77626,                0.92009,                0.82984,                0.86957,                0.66783,                0.69453,                0.36607,                0.82776,               0.001184,               0.001184,               0.001184
                     19,                0.42938,                0.23579,                0.77973,                 0.9439,                0.84362,                0.86262,                0.64603,                0.65168,                0.32236,                0.82286,              0.0011799,              0.0011799,              0.0011799
                     20,                0.43702,                0.23556,                 0.7758,                0.92748,                 0.8189,                0.86295,                0.65913,                0.65938,                0.34125,                 0.8257,              0.0011757,              0.0011757,              0.0011757
                     21,                0.42548,                0.22946,                0.77678,                0.96131,                0.82212,                0.87489,                0.67976,                0.64932,                0.33579,                0.82386,              0.0011716,              0.0011716,              0.0011716
                     22,                0.42106,                0.22942,                 0.7751,                0.93155,                0.84294,                0.88872,                0.66453,                0.66719,                0.33931,                0.82421,              0.0011675,              0.0011675,              0.0011675
                     23,                0.45749,                0.24657,                0.77949,                0.92989,                0.82027,                0.87292,                0.66733,                0.67012,                0.34878,                0.82636,              0.0011634,              0.0011634,              0.0011634
                     24,                0.43892,                0.24021,                0.77619,                0.93415,                0.83238,                0.87284,                0.65621,                0.67138,                0.33774,                0.82723,              0.0011593,              0.0011593,              0.0011593
                     25,                 0.4192,                0.22665,                0.77632,                0.93116,                0.80028,                0.86933,                0.66127,                0.66208,                0.34252,                 0.8261,              0.0011551,              0.0011551,              0.0011551
                     26,                0.40994,                0.22423,                0.77647,                0.92467,                0.83237,                0.87841,                0.66554,                0.65924,                0.32774,                0.82729,               0.001151,               0.001151,               0.001151
                     27,                0.43223,                0.23502,                0.77721,                0.91381,                0.81772,                0.87207,                0.64465,                0.65866,                0.32438,                0.82574,              0.0011469,              0.0011469,              0.0011469
                     28,                0.42352,                0.23114,                0.77526,                 0.9642,                0.80066,                0.86568,                0.65303,                0.66095,                0.34066,                0.82772,              0.0011428,              0.0011428,              0.0011428
                     29,                0.42661,                  0.232,                0.77466,                 0.9251,                0.82053,                0.87726,                0.64653,                0.68007,                0.34248,                0.83149,              0.0011386,              0.0011386,              0.0011386
                     30,                0.42851,                0.23158,                 0.7754,                0.95059,                0.82325,                0.88776,                0.66177,                0.67955,                0.34265,                0.82985,              0.0011345,              0.0011345,              0.0011345
                     31,                0.46357,                0.24678,                0.78063,                0.93243,                0.81782,                0.87532,                0.65828,                 0.6743,                0.33736,                0.82866,              0.0011304,              0.0011304,              0.0011304
                     32,                0.46124,                0.24634,                0.77871,                0.91606,                0.81574,                0.86103,                0.63327,                  0.691,                0.33866,                0.82844,              0.0011263,              0.0011263,              0.0011263
                     33,                0.42245,                0.23071,                0.77731,                0.91254,                0.84189,                0.88321,                0.65954,                0.66785,                0.32897,                0.82751,              0.0011221,              0.0011221,              0.0011221
                     34,                0.40968,                0.22461,                 0.7753,                0.96565,                0.77525,                0.86361,                0.64081,                0.69079,                0.36445,                0.83028,               0.001118,               0.001118,               0.001118
                     35,                0.44189,                0.24699,                0.77646,                0.95593,                0.80505,                  0.877,                0.65091,                0.67433,                0.33848,                0.82876,              0.0011139,              0.0011139,              0.0011139
                     36,                0.41225,                0.22996,                 0.7747,                0.90673,                0.83293,                 0.8785,                0.65521,                0.67085,                0.34658,                0.82863,              0.0011098,              0.0011098,              0.0011098
                     37,                0.40483,                0.22489,                0.77516,                0.92922,                0.83776,                 0.8777,                0.65108,                0.66963,                0.34359,                0.82733,              0.0011056,              0.0011056,              0.0011056
                     38,                0.41535,                0.22837,                0.77466,                  0.967,                 0.8149,                0.87521,                0.64477,                0.67343,                0.34751,                0.82869,              0.0011015,              0.0011015,              0.0011015
                     39,                0.44884,                0.24533,                0.77794,                0.91323,                0.81852,                0.85376,                0.63341,                0.66809,                 0.3463,                0.82903,              0.0010974,              0.0010974,              0.0010974
                     40,                0.42693,                0.23471,                0.77548,                0.92123,                0.82961,                 0.8725,                0.64419,                0.67433,                0.34299,                0.82923,              0.0010933,              0.0010933,              0.0010933
                     41,                0.41889,                0.22977,                 0.7762,                0.93965,                0.80482,                0.87855,                0.65133,                0.66168,                 0.3502,                0.82807,              0.0010891,              0.0010891,              0.0010891
                     42,                0.42287,                0.23106,                0.77662,                0.94465,                0.80077,                0.86817,                0.63973,                0.67699,                0.35021,                0.83014,               0.001085,               0.001085,               0.001085
                     43,                0.42703,                0.23341,                0.77505,                0.91728,                0.83479,                0.87869,                0.66305,                0.65506,                0.35036,                0.82703,              0.0010809,              0.0010809,              0.0010809
                     44,                 0.4204,                0.22668,                0.77477,                0.96286,                0.79636,                0.87746,                0.66485,                0.66342,                0.35433,                 0.8268,              0.0010768,              0.0010768,              0.0010768
                     45,                0.41172,                0.22524,                0.77488,                0.88282,                0.85317,                0.87307,                0.65623,                0.66621,                0.34695,                0.82882,              0.0010726,              0.0010726,              0.0010726
                     46,                0.43684,                0.23515,                0.77922,                0.91236,                0.80919,                0.86629,                0.64651,                0.66596,                0.34712,                0.83125,              0.0010685,              0.0010685,              0.0010685
                     47,                 0.4527,                0.24733,                 0.7783,                0.93162,                0.83216,                0.86898,                 0.6502,                0.66347,                0.34501,                0.82664,              0.0010644,              0.0010644,              0.0010644
                     48,                 0.4278,                0.23419,                 0.7782,                0.92053,                 0.8354,                 0.8724,                0.66061,                0.66076,                0.34305,                0.82489,              0.0010603,              0.0010603,              0.0010603
                     49,                0.42205,                0.23065,                0.77742,                0.93579,                0.81889,                0.88012,                0.65678,                0.65492,                0.33924,                0.82458,              0.0010561,              0.0010561,              0.0010561
                     50,                0.42152,                0.23042,                0.77559,                0.95435,                0.81921,                0.88651,                0.66994,                0.64974,                0.32983,                0.82725,               0.001052,               0.001052,               0.001052
                     51,                0.43876,                0.23702,                0.77603,                0.97077,                0.79857,                 0.8556,                0.64485,                0.67058,                0.35112,                0.82847,              0.0010479,              0.0010479,              0.0010479
                     52,                0.44018,                0.23787,                0.77638,                0.93485,                0.83186,                0.87466,                 0.6652,                0.67248,                 0.3373,                0.83054,              0.0010438,              0.0010438,              0.0010438
                     53,                0.41744,                0.22888,                0.77589,                0.92189,                0.82977,                0.88096,                0.66611,                0.66106,                0.33892,                0.82794,              0.0010396,              0.0010396,              0.0010396
                     54,                 0.4247,                0.22824,                0.77794,                0.88963,                0.83963,                0.86613,                0.66538,                0.65262,                0.33265,                0.82532,              0.0010355,              0.0010355,              0.0010355
                     55,                0.45044,                0.24167,                0.77873,                0.85733,                0.85763,                0.84553,                 0.6227,                 0.6961,                0.36724,                0.83441,              0.0010314,              0.0010314,              0.0010314
                     56,                0.42644,                0.23504,                0.77707,                0.92389,                0.83275,                0.85692,                0.65994,                0.66066,                0.34613,                0.82881,              0.0010273,              0.0010273,              0.0010273
                     57,                0.40787,                0.22313,                0.77547,                0.92698,                0.82726,                 0.8651,                0.65353,                0.65926,                 0.3276,                0.82746,              0.0010231,              0.0010231,              0.0010231
                     58,                0.41758,                0.22954,                0.77527,                0.95778,                 0.8149,                0.85519,                0.65104,                0.65741,                0.33641,                0.82711,               0.001019,               0.001019,               0.001019
