                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89772,                 1.1757,                0.84897,                0.81825,                0.68061,                0.75491,                0.52613,                0.73512,                0.57546,                0.82825,             0.00041193,             0.00041193,             0.00041193
                      2,                0.85652,                0.60832,                0.83281,                0.81372,                 0.7441,                 0.8115,                0.56437,                0.73905,                0.52944,                0.82704,             0.00082586,             0.00082586,             0.00082586
                      3,                0.85944,                0.69512,                 0.8349,                0.81656,                0.74336,                0.81849,                0.54977,                0.78769,                0.68749,                0.83924,               0.001237,               0.001237,               0.001237
                      4,                0.82719,                 0.5892,                0.83092,                0.90686,                0.75245,                0.83566,                0.57616,                0.72538,                0.49266,                0.82398,              0.0012376,              0.0012376,              0.0012376
                      5,                 0.8075,                0.52034,                0.82409,                0.82318,                0.79338,                0.80872,                0.57705,                0.71034,                0.47392,                0.82164,              0.0012376,              0.0012376,              0.0012376
                      6,                0.83446,                0.51036,                0.82487,                0.90776,                0.80192,                0.84555,                 0.6142,                0.70299,                0.44974,                0.81943,              0.0012335,              0.0012335,              0.0012335
                      7,                0.79879,                0.47503,                0.82205,                0.91111,                 0.8132,                0.86484,                0.61152,                0.68654,                0.44366,                0.81742,              0.0012294,              0.0012294,              0.0012294
                      8,                0.78164,                 0.4517,                0.81853,                0.91123,                0.81251,                0.84641,                0.61471,                0.70833,                0.44935,                0.82024,              0.0012252,              0.0012252,              0.0012252
                      9,                0.79265,                0.45156,                0.82309,                0.89884,                0.80724,                0.85924,                0.60375,                0.73988,                0.44789,                0.82553,              0.0012211,              0.0012211,              0.0012211
                     10,                0.83375,                0.46433,                0.82476,                0.89198,                0.83859,                0.86062,                0.61944,                0.74732,                0.44755,                0.82508,               0.001217,               0.001217,               0.001217
                     11,                0.77863,                0.44228,                0.81891,                0.88906,                0.83684,                0.86997,                0.62571,                0.70754,                0.42674,                0.81702,              0.0012129,              0.0012129,              0.0012129
                     12,                0.74097,                0.42301,                0.81444,                0.90946,                0.80309,                0.86647,                0.63543,                0.68946,                0.42211,                0.81815,              0.0012087,              0.0012087,              0.0012087
                     13,                0.73718,                0.41452,                0.80995,                0.92156,                0.83178,                0.87559,                0.63383,                0.68662,                0.41241,                0.81778,              0.0012046,              0.0012046,              0.0012046
                     14,                0.70415,                0.39708,                0.80792,                0.91943,                0.83862,                0.85479,                0.62381,                0.67873,                0.41928,                0.81753,              0.0012005,              0.0012005,              0.0012005
                     15,                0.70936,                0.40231,                0.80824,                0.92294,                0.80752,                0.86174,                0.62706,                0.68724,                0.43207,                0.82229,              0.0011964,              0.0011964,              0.0011964
                     16,                 0.7562,                0.42927,                0.81313,                 0.8751,                0.79609,                0.85068,                0.60704,                0.71338,                0.42953,                0.82163,              0.0011922,              0.0011922,              0.0011922
                     17,                0.71672,                 0.4058,                0.80918,                0.87599,                  0.841,                0.86396,                0.63892,                 0.6529,                0.38614,                0.81285,              0.0011881,              0.0011881,              0.0011881
                     18,                0.70487,                0.39782,                0.80577,                0.91269,                0.81581,                0.86011,                0.63232,                0.68143,                0.40471,                0.81312,               0.001184,               0.001184,               0.001184
                     19,                 0.7125,                0.38784,                0.80648,                0.89881,                0.82353,                0.85782,                0.62703,                0.68682,                0.39547,                0.81715,              0.0011799,              0.0011799,              0.0011799
                     20,                0.70424,                0.37954,                0.80645,                0.91393,                0.83986,                0.86443,                0.64787,                0.64688,                0.38195,                0.81391,              0.0011757,              0.0011757,              0.0011757
                     21,                0.70769,                0.38038,                0.80723,                0.92519,                 0.8143,                0.85726,                0.63339,                0.69959,                0.42992,                0.81953,              0.0011716,              0.0011716,              0.0011716
                     22,                0.69642,                0.38924,                0.80799,                0.87916,                 0.8271,                0.86798,                0.64462,                0.66863,                 0.3914,                0.81346,              0.0011675,              0.0011675,              0.0011675
                     23,                0.68658,                0.37864,                0.80523,                0.88432,                0.80823,                0.85449,                0.63296,                0.65816,                0.39403,                0.81729,              0.0011634,              0.0011634,              0.0011634
                     24,                0.68175,                0.37694,                0.80536,                0.93038,                 0.8417,                0.86885,                0.64716,                0.66451,                0.38371,                0.81915,              0.0011593,              0.0011593,              0.0011593
                     25,                0.69513,                0.38691,                0.80493,                0.91599,                0.79116,                 0.8435,                 0.6313,                0.65584,                0.39015,                0.81302,              0.0011551,              0.0011551,              0.0011551
                     26,                0.68689,                 0.3762,                0.80205,                0.89424,                0.83931,                0.86411,                0.64406,                0.67425,                0.39312,                0.81568,               0.001151,               0.001151,               0.001151
                     27,                0.69015,                 0.3729,                0.80281,                0.93339,                0.85034,                0.86723,                0.64696,                0.69141,                0.39745,                0.81898,              0.0011469,              0.0011469,              0.0011469
                     28,                0.71381,                 0.3851,                0.80364,                0.92602,                0.82288,                 0.8635,                0.64601,                0.67527,                0.39456,                0.81894,              0.0011428,              0.0011428,              0.0011428
                     29,                0.68135,                0.37007,                0.80365,                0.92902,                0.79682,                0.86945,                0.65663,                0.64025,                0.39695,                0.81394,              0.0011386,              0.0011386,              0.0011386
                     30,                0.67725,                0.36093,                0.80405,                0.91058,                0.86984,                0.88043,                0.65058,                0.68101,                0.38326,                0.81851,              0.0011345,              0.0011345,              0.0011345
                     31,                0.64554,                0.34852,                0.80137,                0.94584,                0.80152,                0.86332,                0.63952,                0.66309,                0.38498,                0.81458,              0.0011304,              0.0011304,              0.0011304
                     32,                0.66795,                0.35767,                0.79987,                0.92789,                0.81739,                0.87328,                0.64837,                0.65173,                0.38397,                0.81537,              0.0011263,              0.0011263,              0.0011263
                     33,                0.64631,                0.35214,                0.79824,                0.94535,                0.85287,                0.87507,                0.65267,                0.65063,                0.36149,                0.81566,              0.0011221,              0.0011221,              0.0011221
                     34,                0.65529,                0.36037,                0.79946,                0.88917,                 0.8146,                0.86161,                0.64216,                0.65518,                0.38681,                0.81575,               0.001118,               0.001118,               0.001118
                     35,                0.65373,                0.35487,                0.79877,                0.95138,                0.82127,                 0.8744,                0.64681,                0.67868,                0.37455,                0.81575,              0.0011139,              0.0011139,              0.0011139
                     36,                0.66932,                 0.3592,                0.80187,                0.93529,                 0.8266,                0.87657,                0.65154,                0.65166,                0.36819,                0.81658,              0.0011098,              0.0011098,              0.0011098
                     37,                0.64632,                0.34268,                 0.7994,                0.92679,                0.83271,                0.87315,                0.65255,                0.65275,                0.36493,                0.81446,              0.0011056,              0.0011056,              0.0011056
                     38,                0.63442,                0.33546,                0.79823,                0.90271,                0.84087,                 0.8713,                0.65596,                0.64693,                0.35916,                0.81362,              0.0011015,              0.0011015,              0.0011015
                     39,                0.65273,                0.34313,                 0.7985,                0.95784,                0.80672,                0.87018,                0.65248,                0.64717,                 0.3627,                0.81477,              0.0010974,              0.0010974,              0.0010974
                     40,                0.62759,                0.33354,                0.79689,                0.95414,                0.81892,                0.87038,                0.63992,                0.66015,                0.36955,                0.81603,              0.0010933,              0.0010933,              0.0010933
                     41,                0.64705,                0.34604,                0.79743,                0.89947,                0.82648,                0.86562,                0.65175,                0.66737,                0.37559,                 0.8146,              0.0010891,              0.0010891,              0.0010891
                     42,                0.65103,                0.34614,                0.80038,                0.87981,                0.82629,                0.84467,                0.62258,                0.67309,                0.36728,                0.81657,               0.001085,               0.001085,               0.001085
                     43,                0.65679,                0.34504,                0.79838,                0.92056,                0.81718,                0.86089,                0.63999,                0.68403,                0.37099,                0.81833,              0.0010809,              0.0010809,              0.0010809
                     44,                0.62514,                0.33508,                0.79434,                 0.9243,                0.82987,                 0.8659,                 0.6549,                0.63451,                0.35501,                0.81271,              0.0010768,              0.0010768,              0.0010768
                     45,                0.60656,                0.32748,                0.79456,                0.97281,                0.81777,                0.87307,                0.66554,                0.64317,                0.35863,                0.81262,              0.0010726,              0.0010726,              0.0010726
                     46,                0.61758,                0.32606,                0.79528,                0.91433,                0.79728,                 0.8554,                0.66102,                0.64492,                0.36466,                0.81463,              0.0010685,              0.0010685,              0.0010685
                     47,                0.62087,                0.33472,                0.79411,                0.86191,                0.78729,                0.82247,                0.59673,                0.64917,                0.37436,                0.81763,              0.0010644,              0.0010644,              0.0010644
                     48,                0.63922,                0.34638,                0.79368,                0.89985,                0.81058,                0.85539,                0.62523,                0.67047,                0.36975,                0.81745,              0.0010603,              0.0010603,              0.0010603
                     49,                0.62884,                0.33288,                0.79597,                 0.8938,                 0.8323,                 0.8686,                0.65334,                0.64358,                 0.3627,                0.81346,              0.0010561,              0.0010561,              0.0010561
                     50,                0.61853,                0.32885,                0.79275,                0.94346,                0.79535,                0.86274,                0.65744,                0.64665,                0.36834,                 0.8135,               0.001052,               0.001052,               0.001052
                     51,                0.61187,                0.32651,                0.79496,                0.92557,                0.77863,                 0.8497,                0.63884,                0.65574,                0.37217,                0.81501,              0.0010479,              0.0010479,              0.0010479
                     52,                0.63494,                0.33819,                0.79693,                 0.9358,                0.80207,                0.86148,                0.62689,                0.66251,                0.37401,                0.81477,              0.0010438,              0.0010438,              0.0010438
                     53,                0.59579,                  0.323,                0.79269,                0.86481,                0.84098,                0.86421,                0.64418,                0.64935,                 0.3642,                0.81529,              0.0010396,              0.0010396,              0.0010396
                     54,                 0.6133,                0.33062,                0.79437,                0.91937,                0.82106,                0.85735,                0.62997,                 0.6409,                0.36787,                0.81434,              0.0010355,              0.0010355,              0.0010355
                     55,                0.60462,                0.32355,                0.79302,                 0.9372,                 0.8076,                0.87346,                0.65736,                0.63972,                0.35406,                0.81296,              0.0010314,              0.0010314,              0.0010314
                     56,                0.60273,                0.32848,                0.79182,                0.92384,                0.83125,                0.87686,                0.66601,                0.65143,                0.37068,                0.81411,              0.0010273,              0.0010273,              0.0010273
                     57,                0.59922,                0.32784,                0.79483,                0.94674,                0.79404,                0.86964,                0.63394,                0.67049,                0.36462,                0.81733,              0.0010231,              0.0010231,              0.0010231
                     58,                0.60497,                 0.3241,                0.79458,                0.90127,                0.83702,                0.86036,                0.64092,                0.64472,                0.35608,                0.81511,               0.001019,               0.001019,               0.001019
                     59,                0.59692,                0.31948,                0.79064,                0.89866,                0.82751,                0.87859,                0.65259,                0.65827,                0.35296,                0.81562,              0.0010149,              0.0010149,              0.0010149
                     60,                0.60021,                0.32009,                 0.7915,                0.94873,                0.81183,                0.87185,                0.65312,                0.65253,                0.35154,                0.81465,              0.0010107,              0.0010107,              0.0010107
                     61,                0.60909,                0.32832,                0.79368,                0.92421,                0.82491,                0.88103,                0.65712,                0.65083,                0.34964,                0.81761,              0.0010066,              0.0010066,              0.0010066
                     62,                0.59366,                0.31791,                0.79149,                0.92128,                0.81428,                0.85862,                0.63641,                0.64921,                0.36535,                0.81774,              0.0010025,              0.0010025,              0.0010025
                     63,                0.60925,                0.32742,                0.79087,                0.91292,                0.80146,                 0.8533,                0.63647,                0.67649,                0.38033,                0.81966,             0.00099837,             0.00099837,             0.00099837
                     64,                0.62017,                0.32623,                0.79349,                0.92921,                0.82448,                0.87335,                0.64519,                0.65546,                0.36062,                0.81884,             0.00099425,             0.00099425,             0.00099425
                     65,                0.59652,                0.31866,                0.79119,                0.95957,                0.83369,                 0.8761,                0.64371,                0.69139,                0.35589,                0.82008,             0.00099013,             0.00099013,             0.00099013
                     66,                0.58312,                0.31618,                0.78961,                0.94833,                0.82107,                0.87409,                0.66437,                0.67525,                0.37613,                0.81803,               0.000986,               0.000986,               0.000986
                     67,                0.57087,                0.30955,                0.78964,                0.94939,                0.80471,                0.86552,                0.63802,                0.65728,                 0.3547,                0.81757,             0.00098187,             0.00098187,             0.00098187
                     68,                0.58273,                0.31066,                0.78959,                0.93099,                0.82904,                0.87118,                0.64731,                0.66459,                0.35588,                0.81712,             0.00097775,             0.00097775,             0.00097775
                     69,                0.55787,                0.30233,                0.78645,                 0.9148,                0.82232,                0.86202,                0.64212,                0.65402,                0.34689,                0.81596,             0.00097362,             0.00097362,             0.00097362
                     70,                0.56084,                0.30461,                0.78706,                0.93873,                0.82602,                0.87277,                0.65539,                0.66168,                0.35867,                0.81894,              0.0009695,              0.0009695,              0.0009695
                     71,                0.58563,                0.31895,                0.79043,                0.96187,                0.78754,                0.87626,                0.64619,                0.66119,                0.36364,                0.82076,             0.00096537,             0.00096537,             0.00096537
                     72,                0.57891,                0.31163,                0.79341,                0.83944,                0.82585,                0.85687,                0.64861,                0.66011,                0.36031,                0.81646,             0.00096125,             0.00096125,             0.00096125
                     73,                0.57978,                0.31097,                0.79004,                0.90904,                0.81461,                0.86177,                0.64395,                0.64684,                0.35252,                0.81486,             0.00095712,             0.00095712,             0.00095712
                     74,                0.59491,                0.31341,                0.79008,                0.91391,                 0.8165,                0.86976,                0.65116,                0.65904,                0.35965,                 0.8186,               0.000953,               0.000953,               0.000953
                     75,                0.58683,                0.30763,                0.78945,                0.90012,                0.84183,                0.88065,                 0.6675,                 0.6645,                0.35186,                0.81883,             0.00094887,             0.00094887,             0.00094887
                     76,                0.56521,                0.29941,                0.78925,                0.93939,                0.82284,                0.87233,                 0.6538,                0.65939,                0.34757,                0.81825,             0.00094475,             0.00094475,             0.00094475
                     77,                0.57773,                0.30373,                0.78772,                0.92599,                0.83806,                0.86234,                0.64291,                0.66545,                0.35781,                  0.817,             0.00094062,             0.00094062,             0.00094062
                     78,                0.55162,                0.29252,                0.78749,                  0.963,                0.81127,                0.87131,                0.65287,                0.67126,                0.35426,                0.81771,              0.0009365,              0.0009365,              0.0009365
                     79,                0.56242,                0.30214,                0.78626,                0.92676,                0.82578,                0.87498,                0.64846,                 0.6634,                0.35124,                0.81856,             0.00093238,             0.00093238,             0.00093238
                     80,                0.58292,                0.31229,                0.78899,                0.88224,                0.80342,                0.85337,                0.64301,                0.69013,                0.37618,                 0.8209,             0.00092825,             0.00092825,             0.00092825
                     81,                0.56312,                0.30293,                0.78896,                0.91931,                  0.812,                0.86177,                0.64383,                  0.666,                0.34767,                0.81945,             0.00092413,             0.00092413,             0.00092413
                     82,                0.55177,                0.29523,                0.78597,                0.92371,                0.80995,                0.85853,                0.63622,                0.66671,                0.35442,                 0.8193,                0.00092,                0.00092,                0.00092
                     83,                0.54305,                0.29025,                0.78614,                0.93908,                0.82302,                0.87308,                0.63642,                0.64859,                0.34253,                0.81705,             0.00091588,             0.00091588,             0.00091588
                     84,                0.53941,                0.29013,                0.78482,                0.89642,                 0.8195,                0.86539,                0.64215,                0.66333,                0.35426,                0.81864,             0.00091175,             0.00091175,             0.00091175
                     85,                0.54509,                0.29654,                0.78532,                0.89434,                0.82424,                0.84987,                 0.6313,                0.65971,                0.37019,                0.81622,             0.00090763,             0.00090763,             0.00090763
                     86,                0.53831,                0.29367,                0.78561,                0.91806,                0.81551,                 0.8713,                0.63207,                0.65378,                0.35323,                0.81753,              0.0009035,              0.0009035,              0.0009035
                     87,                0.55904,                0.29514,                0.78709,                0.92383,                0.82464,                0.86283,                0.64211,                 0.6625,                0.35526,                 0.8169,             0.00089938,             0.00089938,             0.00089938
                     88,                0.55067,                0.29392,                0.78699,                0.91515,                0.80191,                0.85685,                0.63865,                0.65914,                0.34765,                0.81649,             0.00089525,             0.00089525,             0.00089525
                     89,                0.54926,                0.29599,                0.78565,                0.89193,                0.83877,                0.87081,                0.64149,                0.66716,                0.34964,                0.81866,             0.00089112,             0.00089112,             0.00089112
                     90,                0.53002,                0.28591,                0.78612,                0.88611,                0.84186,                0.85761,                0.64883,                0.66081,                0.34978,                0.81778,               0.000887,               0.000887,               0.000887
                     91,                 0.5371,                0.28841,                0.78341,                 0.9021,                0.84649,                0.86731,                0.65065,                0.65267,                0.34687,                0.81784,             0.00088288,             0.00088288,             0.00088288
                     92,                0.52863,                0.28568,                0.78323,                0.91794,                0.80592,                0.85909,                0.64299,                0.64949,                0.34701,                0.81889,             0.00087875,             0.00087875,             0.00087875
                     93,                0.52419,                0.28509,                0.78627,                0.93428,                0.81293,                0.86872,                0.65331,                0.66169,                0.36226,                0.81994,             0.00087462,             0.00087462,             0.00087462
                     94,                0.52706,                 0.2864,                0.78585,                0.90507,                0.82881,                0.86677,                0.63536,                0.66173,                0.34993,                0.81692,              0.0008705,              0.0008705,              0.0008705
                     95,                0.53627,                0.28985,                0.78372,                0.94142,                0.79407,                0.85496,                0.64426,                0.64892,                0.34395,                0.81633,             0.00086637,             0.00086637,             0.00086637
                     96,                0.52688,                0.28375,                0.78415,                0.85832,                0.84183,                0.84784,                  0.637,                0.65555,                0.34838,                0.81938,             0.00086225,             0.00086225,             0.00086225
                     97,                 0.5221,                0.28242,                0.78355,                 0.8928,                0.81231,                0.85653,                0.64279,                0.67051,                0.35695,                0.82024,             0.00085813,             0.00085813,             0.00085813
                     98,                 0.5306,                0.28607,                 0.7826,                0.93471,                 0.8251,                 0.8765,                0.65048,                0.66073,                0.35252,                0.81702,               0.000854,               0.000854,               0.000854
                     99,                0.51319,                0.28144,                0.78499,                0.92936,                0.82387,                0.87586,                0.65756,                0.65882,                0.34952,                0.81772,             0.00084988,             0.00084988,             0.00084988
                    100,                0.51351,                0.28079,                0.78354,                0.94031,                0.81051,                0.86967,                0.65164,                0.65823,                0.35237,                0.81922,             0.00084575,             0.00084575,             0.00084575
                    101,                0.52947,                0.28806,                0.78385,                0.89879,                0.83839,                0.85739,                0.63246,                0.67635,                0.35962,                0.81813,             0.00084162,             0.00084162,             0.00084162
                    102,                0.51449,                0.28392,                 0.7835,                0.91177,                0.82915,                 0.8571,                0.64342,                 0.6633,                0.35986,                0.81706,              0.0008375,              0.0008375,              0.0008375
                    103,                0.50997,                0.27803,                0.78321,                0.93061,                0.80538,                0.86285,                0.65478,                 0.6578,                0.34931,                0.81684,             0.00083337,             0.00083337,             0.00083337
                    104,                 0.5103,                0.27811,                0.78252,                0.92016,                 0.8234,                0.86943,                0.65014,                0.66159,                0.34848,                0.81812,             0.00082925,             0.00082925,             0.00082925
                    105,                0.50076,                0.27404,                0.78078,                0.91603,                0.84974,                 0.8746,                0.65611,                0.65092,                0.34184,                0.81749,             0.00082513,             0.00082513,             0.00082513
                    106,                0.50974,                0.27926,                0.78225,                0.88636,                0.83549,                 0.8564,                0.64018,                0.65521,                0.35372,                0.81804,               0.000821,               0.000821,               0.000821
                    107,                0.50343,                0.27901,                0.78159,                0.93191,                0.82611,                0.86833,                 0.6466,                0.66481,                 0.3471,                0.81934,             0.00081688,             0.00081688,             0.00081688
